Date,ProShares UltraShort MSCI Brazil Capped_Open_average,ProShares UltraShort MSCI Brazil Capped_Open_max,ProShares UltraShort MSCI Brazil Capped_Open_min,ProShares UltraShort MSCI Brazil Capped_Open_volatility,ProShares UltraShort MSCI Brazil Capped_Open_change,ProShares UltraShort MSCI Brazil Capped_High_average,ProShares UltraShort MSCI Brazil Capped_High_max,ProShares UltraShort MSCI Brazil Capped_High_min,ProShares UltraShort MSCI Brazil Capped_High_volatility,ProShares UltraShort MSCI Brazil Capped_High_change,ProShares UltraShort MSCI Brazil Capped_Low_average,ProShares UltraShort MSCI Brazil Capped_Low_max,ProShares UltraShort MSCI Brazil Capped_Low_min,ProShares UltraShort MSCI Brazil Capped_Low_volatility,ProShares UltraShort MSCI Brazil Capped_Low_change,ProShares UltraShort MSCI Brazil Capped_Close_average,ProShares UltraShort MSCI Brazil Capped_Close_max,ProShares UltraShort MSCI Brazil Capped_Close_min,ProShares UltraShort MSCI Brazil Capped_Close_volatility,ProShares UltraShort MSCI Brazil Capped_Close_change
2018-04-08,38.6,38.6,38.6,0.0,0.0,40.5,40.5,40.5,0.0,0.0,38.55,38.55,38.55,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2018-04-15,38.55,38.55,38.55,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.65,38.65,38.65,0.0,0.0
2018-04-22,37.95,37.95,37.95,0.0,0.0,39.15,39.15,39.15,0.0,0.0,37.7,37.7,37.7,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-04-29,42.8,42.8,42.8,0.0,0.0,43.65,43.65,43.65,0.0,0.0,42.24,42.24,42.24,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-05-06,41.15,41.15,41.15,0.0,0.0,42.73,42.73,42.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2018-05-13,45.4,45.4,45.4,0.0,0.0,47.75,47.75,47.75,0.0,0.0,45.25,45.25,45.25,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2018-05-20,47.72,47.72,47.72,0.0,0.0,49.99,49.99,49.99,0.0,0.0,47.58,47.58,47.58,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-05-27,51.73,51.73,51.73,0.0,0.0,52.52,52.52,52.52,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-06-03,56.65,56.65,56.65,0.0,0.0,59.26,59.26,59.26,0.0,0.0,56.0,56.0,56.0,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-06-10,63.33,63.33,63.33,0.0,0.0,64.42,64.42,64.42,0.0,0.0,62.01,62.01,62.01,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-06-17,61.69,61.69,61.69,0.0,0.0,64.5,64.5,64.5,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-06-24,64.15,64.15,64.15,0.0,0.0,64.5,64.5,64.5,0.0,0.0,63.06,63.06,63.06,0.0,0.0,63.13,63.13,63.13,0.0,0.0
2018-07-01,57.45,57.45,57.45,0.0,0.0,58.89,58.89,58.89,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-07-08,54.9,54.9,54.9,0.0,0.0,56.04,56.04,56.04,0.0,0.0,54.76,54.76,54.76,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-07-15,50.43,50.43,50.43,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2018-07-22,45.88,45.88,45.88,0.0,0.0,46.99,46.99,46.99,0.0,0.0,45.83,45.83,45.83,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-07-29,44.78,44.78,44.78,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.4,44.4,44.4,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-08-05,55.58,55.58,55.58,0.0,0.0,55.94,55.94,55.94,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2018-08-12,56.38,56.38,56.38,0.0,0.0,57.5,57.5,57.5,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.35,56.35,56.35,0.0,0.0
2018-08-19,58.67,58.67,58.67,0.0,0.0,58.67,58.67,58.67,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2018-08-26,60.2,60.2,60.2,0.0,0.0,60.88,60.88,60.88,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-09-02,57.39,57.39,57.39,0.0,0.0,59.19,59.19,59.19,0.0,0.0,57.15,57.15,57.15,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2018-09-09,61.38,61.38,61.38,0.0,0.0,61.38,61.38,61.38,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.98,57.98,57.98,0.0,0.0
2018-09-16,52.67,52.67,52.67,0.0,0.0,55.55,55.55,55.55,0.0,0.0,52.42,52.42,52.42,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2018-09-23,52.44,52.44,52.44,0.0,0.0,53.27,53.27,53.27,0.0,0.0,51.67,51.67,51.67,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-09-30,37.0,37.0,37.0,0.0,0.0,39.2,39.2,39.2,0.0,0.0,36.82,36.82,36.82,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-10-07,38.93,38.93,38.93,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.04,38.04,38.04,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2018-10-14,36.17,36.17,36.17,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.5,35.5,35.5,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-10-21,33.22,33.22,33.22,0.0,0.0,38.5,38.5,38.5,0.0,0.0,32.83,32.83,32.83,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-10-28,32.54,32.54,32.54,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-11-04,36.04,36.04,36.04,0.0,0.0,37.0,37.0,37.0,0.0,0.0,35.88,35.88,35.88,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-11-11,34.59,34.59,34.59,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2018-11-18,37.5,37.5,37.5,0.0,0.0,39.6,39.6,39.6,0.0,0.0,37.11,37.11,37.11,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-11-25,32.94,32.94,32.94,0.0,0.0,34.29,34.29,34.29,0.0,0.0,32.73,32.73,32.73,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-12-02,37.38,37.38,37.38,0.0,0.0,38.54,38.54,38.54,0.0,0.0,37.25,37.25,37.25,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2018-12-09,36.71,36.71,36.71,0.0,0.0,37.94,37.94,37.94,0.0,0.0,36.45,36.45,36.45,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-12-16,38.36,38.36,38.36,0.0,0.0,39.17,39.17,39.17,0.0,0.0,37.7,37.7,37.7,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2018-12-23,35.26,35.26,35.26,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-12-30,29.36,29.36,29.36,0.0,0.0,30.26,30.26,30.26,0.0,0.0,29.25,29.25,29.25,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2019-01-06,28.4,28.4,28.4,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2019-01-13,27.18,27.18,27.18,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-01-20,28.15,28.15,28.15,0.0,0.0,28.32,28.32,28.32,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2019-01-27,25.49,25.49,25.49,0.0,0.0,25.6,25.6,25.6,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2019-02-03,27.54,27.54,27.54,0.0,0.0,28.64,28.64,28.64,0.0,0.0,27.49,27.49,27.49,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2019-02-10,25.46,25.46,25.46,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2019-02-17,25.45,25.45,25.45,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.45,25.45,25.45,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2019-02-24,28.14,28.14,28.14,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-03-03,28.1,28.1,28.1,0.0,0.0,28.11,28.11,28.11,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2019-03-10,26.2,26.2,26.2,0.0,0.0,26.25,26.25,26.25,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2019-03-17,29.96,29.96,29.96,0.0,0.0,30.0,30.0,30.0,0.0,0.0,28.91,28.91,28.91,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2019-03-24,27.71,27.71,27.71,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2019-03-31,27.02,27.02,27.02,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2019-04-07,28.94,28.94,28.94,0.0,0.0,29.6,29.6,29.6,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-04-14,29.55,29.55,29.55,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-04-21,27.79,27.79,27.79,0.0,0.0,28.48,28.48,28.48,0.0,0.0,27.7,27.7,27.7,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-04-28,29.67,29.67,29.67,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2019-05-05,31.27,31.27,31.27,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2019-05-12,34.7,34.7,34.7,0.0,0.0,34.96,34.96,34.96,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2019-05-19,30.4,30.4,30.4,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2019-05-26,26.78,26.78,26.78,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2019-06-02,26.38,26.38,26.38,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2019-06-09,26.22,26.22,26.22,0.0,0.0,26.61,26.61,26.61,0.0,0.0,25.82,25.82,25.82,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2019-06-16,23.43,23.43,23.43,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2019-06-23,22.9,22.9,22.9,0.0,0.0,23.79,23.79,23.79,0.0,0.0,22.8,22.8,22.8,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2019-06-30,22.01,22.01,22.01,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.84,21.84,21.84,0.0,0.0
2019-07-07,21.14,21.14,21.14,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2019-07-14,21.17,21.17,21.17,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2019-07-21,22.22,22.22,22.22,0.0,0.0,22.54,22.54,22.54,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.88,21.88,21.88,0.0,0.0
2019-07-28,24.86,24.86,24.86,0.0,0.0,25.69,25.69,25.69,0.0,0.0,24.76,24.76,24.76,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2019-08-04,24.84,24.84,24.84,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2019-08-11,25.16,25.16,25.16,0.0,0.0,26.91,26.91,26.91,0.0,0.0,25.12,25.12,25.12,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2019-08-18,28.08,28.08,28.08,0.0,0.0,29.61,29.61,29.61,0.0,0.0,27.95,27.95,27.95,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-08-25,26.38,26.38,26.38,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-09-01,24.47,24.47,24.47,0.0,0.0,24.91,24.91,24.91,0.0,0.0,23.93,23.93,23.93,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2019-09-08,24.9,24.9,24.9,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2019-09-15,25.12,25.12,25.12,0.0,0.0,25.28,25.28,25.28,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2019-09-22,24.56,24.56,24.56,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2019-09-29,24.79,24.79,24.79,0.0,0.0,25.97,25.97,25.97,0.0,0.0,24.59,24.59,24.59,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2019-10-06,24.54,24.54,24.54,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2019-10-13,24.27,24.27,24.27,0.0,0.0,24.39,24.39,24.39,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2019-10-20,21.28,21.28,21.28,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2019-10-27,20.79,20.79,20.79,0.0,0.0,21.27,21.27,21.27,0.0,0.0,20.76,20.76,20.76,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2019-11-03,23.11,23.11,23.11,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2019-11-10,23.33,23.33,23.33,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.33,23.33,23.33,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2019-11-17,23.2,23.2,23.2,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2019-11-24,23.06,23.06,23.06,0.0,0.0,23.26,23.26,23.26,0.0,0.0,22.88,22.88,22.88,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2019-12-01,21.62,21.62,21.62,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2019-12-08,19.95,19.95,19.95,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.72,19.72,19.72,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2019-12-15,19.16,19.16,19.16,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2019-12-22,18.14,18.14,18.14,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.47,18.47,18.47,0.0,0.0
2019-12-29,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.81,17.81,17.81,0.0,0.0
