Date,iShares International Select Dividend_Open_average,iShares International Select Dividend_Open_max,iShares International Select Dividend_Open_min,iShares International Select Dividend_Open_volatility,iShares International Select Dividend_Open_change,iShares International Select Dividend_High_average,iShares International Select Dividend_High_max,iShares International Select Dividend_High_min,iShares International Select Dividend_High_volatility,iShares International Select Dividend_High_change,iShares International Select Dividend_Low_average,iShares International Select Dividend_Low_max,iShares International Select Dividend_Low_min,iShares International Select Dividend_Low_volatility,iShares International Select Dividend_Low_change,iShares International Select Dividend_Close_average,iShares International Select Dividend_Close_max,iShares International Select Dividend_Close_min,iShares International Select Dividend_Close_volatility,iShares International Select Dividend_Close_change
2018-03-25,32.98,32.98,32.98,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2018-04-01,33.22,33.22,33.22,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-04-08,33.92,33.92,33.92,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-04-15,33.96,33.96,33.96,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-04-22,34.06,34.06,34.06,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-04-29,33.7,33.7,33.7,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.7,33.7,33.7,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-05-06,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-05-13,33.88,33.88,33.88,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-05-20,33.42,33.42,33.42,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-05-27,33.15,33.15,33.15,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-06-03,33.33,33.33,33.33,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-06-10,33.09,33.09,33.09,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-06-17,32.4,32.4,32.4,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-06-24,32.05,32.05,32.05,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-07-01,32.6,32.6,32.6,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-07-08,32.63,32.63,32.63,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-07-15,32.54,32.54,32.54,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-07-22,32.96,32.96,32.96,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2018-07-29,32.74,32.74,32.74,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-08-05,32.49,32.49,32.49,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-08-12,32.25,32.25,32.25,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-08-19,32.73,32.73,32.73,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-08-26,32.66,32.66,32.66,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.62,32.62,32.62,0.0,0.0
2018-09-02,31.91,31.91,31.91,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-09-09,32.49,32.49,32.49,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2018-09-16,33.15,33.15,33.15,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-09-23,32.65,32.65,32.65,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-09-30,32.15,32.15,32.15,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-10-07,31.21,31.21,31.21,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-10-14,31.25,31.25,31.25,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-10-21,29.97,29.97,29.97,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-10-28,31.21,31.21,31.21,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-11-04,31.6,31.6,31.6,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-11-11,31.02,31.02,31.02,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-11-18,30.53,30.53,30.53,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-11-25,31.0,31.0,31.0,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-12-02,30.27,30.27,30.27,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-12-09,29.82,29.82,29.82,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-12-16,28.54,28.54,28.54,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-12-23,28.64,28.64,28.64,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-12-30,28.98,28.98,28.98,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-01-06,29.93,29.93,29.93,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2019-01-13,30.39,30.39,30.39,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2019-01-20,30.4,30.4,30.4,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2019-01-27,30.85,30.85,30.85,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-02-03,30.67,30.67,30.67,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-02-10,30.99,30.99,30.99,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-02-17,31.31,31.31,31.31,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-02-24,31.76,31.76,31.76,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2019-03-03,31.11,31.11,31.11,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2019-03-10,31.87,31.87,31.87,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2019-03-17,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2019-03-24,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-03-31,31.43,31.43,31.43,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-04-07,31.83,31.83,31.83,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2019-04-14,31.98,31.98,31.98,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-04-21,31.47,31.47,31.47,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2019-04-28,31.53,31.53,31.53,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2019-05-05,30.89,30.89,30.89,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2019-05-12,30.57,30.57,30.57,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2019-05-19,30.54,30.54,30.54,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2019-05-26,29.86,29.86,29.86,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2019-06-02,31.15,31.15,31.15,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2019-06-09,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2019-06-16,30.54,30.54,30.54,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-06-23,30.68,30.68,30.68,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-06-30,31.01,31.01,31.01,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2019-07-07,30.95,30.95,30.95,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-07-14,30.76,30.76,30.76,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2019-07-21,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-07-28,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2019-08-04,29.4,29.4,29.4,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-08-11,28.72,28.72,28.72,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2019-08-18,29.25,29.25,29.25,0.0,0.0,29.46,29.46,29.46,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2019-08-25,29.55,29.55,29.55,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2019-09-01,30.12,30.12,30.12,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2019-09-08,31.23,31.23,31.23,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2019-09-15,31.2,31.2,31.2,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-09-22,30.65,30.65,30.65,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2019-09-29,29.93,29.93,29.93,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-10-06,30.97,30.97,30.97,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-10-13,31.65,31.65,31.65,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2019-10-20,31.96,31.96,31.96,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-10-27,32.0,32.0,32.0,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-11-03,32.35,32.35,32.35,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2019-11-10,32.41,32.41,32.41,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2019-11-17,32.33,32.33,32.33,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2019-11-24,32.47,32.47,32.47,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2019-12-01,32.56,32.56,32.56,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2019-12-08,33.22,33.22,33.22,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2019-12-15,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2019-12-22,33.67,33.67,33.67,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2019-12-29,33.61,33.61,33.61,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0
