Date,iShares MSCI Netherlands_etf_Open_average,iShares MSCI Netherlands_etf_Open_max,iShares MSCI Netherlands_etf_Open_min,iShares MSCI Netherlands_etf_Open_volatility,iShares MSCI Netherlands_etf_Open_change,iShares MSCI Netherlands_etf_High_average,iShares MSCI Netherlands_etf_High_max,iShares MSCI Netherlands_etf_High_min,iShares MSCI Netherlands_etf_High_volatility,iShares MSCI Netherlands_etf_High_change,iShares MSCI Netherlands_etf_Low_average,iShares MSCI Netherlands_etf_Low_max,iShares MSCI Netherlands_etf_Low_min,iShares MSCI Netherlands_etf_Low_volatility,iShares MSCI Netherlands_etf_Low_change,iShares MSCI Netherlands_etf_Close_average,iShares MSCI Netherlands_etf_Close_max,iShares MSCI Netherlands_etf_Close_min,iShares MSCI Netherlands_etf_Close_volatility,iShares MSCI Netherlands_etf_Close_change
2016-03-13,24.6,24.6,24.6,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2016-03-20,24.04,24.04,24.04,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2016-03-27,24.18,24.18,24.18,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2016-04-03,24.29,24.29,24.29,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2016-04-10,24.79,24.79,24.79,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2016-04-17,24.78,24.78,24.78,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-04-24,24.81,24.81,24.81,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2016-05-01,24.21,24.21,24.21,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2016-05-08,24.13,24.13,24.13,0.0,0.0,24.26,24.26,24.26,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2016-05-15,24.19,24.19,24.19,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2016-05-22,25.02,25.02,25.02,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2016-05-29,25.08,25.08,25.08,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-06-05,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-06-12,23.33,23.33,23.33,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.45,23.45,23.45,0.0,0.0
2016-06-19,22.6,22.6,22.6,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.29,22.29,22.29,0.0,0.0
2016-06-26,23.2,23.2,23.2,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.11,23.11,23.11,0.0,0.0
2016-07-03,22.67,22.67,22.67,0.0,0.0,22.78,22.78,22.78,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.78,22.78,22.78,0.0,0.0
2016-07-10,23.49,23.49,23.49,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2016-07-17,23.69,23.69,23.69,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2016-07-24,23.93,23.93,23.93,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2016-07-31,23.91,23.91,23.91,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2016-08-07,24.67,24.67,24.67,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2016-08-14,24.63,24.63,24.63,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2016-08-21,24.81,24.81,24.81,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2016-08-28,25.26,25.26,25.26,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2016-09-04,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2016-09-11,24.15,24.15,24.15,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2016-09-18,24.95,24.95,24.95,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-09-25,24.82,24.82,24.82,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.82,24.82,24.82,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-10-02,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2016-10-09,24.44,24.44,24.44,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2016-10-16,24.41,24.41,24.41,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2016-10-23,24.42,24.42,24.42,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2016-10-30,23.97,23.97,23.97,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2016-11-06,23.74,23.74,23.74,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2016-11-13,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2016-11-20,23.68,23.68,23.68,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2016-11-27,23.1,23.1,23.1,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2016-12-04,23.92,23.92,23.92,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2016-12-11,24.0,24.0,24.0,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2016-12-18,24.01,24.01,24.01,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2016-12-25,24.17,24.17,24.17,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2017-01-01,24.34,24.34,24.34,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2017-01-08,24.61,24.61,24.61,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2017-01-15,24.68,24.68,24.68,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2017-01-22,24.86,24.86,24.86,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2017-01-29,25.09,25.09,25.09,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2017-02-05,24.92,24.92,24.92,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2017-02-12,25.53,25.53,25.53,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2017-02-19,25.25,25.25,25.25,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2017-02-26,25.85,25.85,25.85,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2017-03-05,26.54,26.54,26.54,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2017-03-12,26.88,26.88,26.88,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2017-03-19,26.92,26.92,26.92,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2017-03-26,26.77,26.77,26.77,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2017-04-02,26.68,26.68,26.68,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2017-04-09,26.72,26.72,26.72,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2017-04-16,27.07,27.07,27.07,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2017-04-23,28.12,28.12,28.12,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2017-04-30,28.98,28.98,28.98,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2017-05-07,28.84,28.84,28.84,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2017-05-14,29.27,29.27,29.27,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2017-05-21,29.42,29.42,29.42,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2017-05-28,29.85,29.85,29.85,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2017-06-04,29.59,29.59,29.59,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2017-06-11,29.16,29.16,29.16,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2017-06-18,28.79,28.79,28.79,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2017-06-25,28.94,28.94,28.94,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2017-07-02,28.87,28.87,28.87,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2017-07-09,29.6,29.6,29.6,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2017-07-16,30.31,30.31,30.31,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2017-07-23,30.51,30.51,30.51,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2017-07-30,30.98,30.98,30.98,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2017-08-06,30.37,30.37,30.37,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2017-08-13,30.39,30.39,30.39,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2017-08-20,30.51,30.51,30.51,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2017-08-27,30.73,30.73,30.73,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2017-09-03,30.98,30.98,30.98,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2017-09-10,31.28,31.28,31.28,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2017-09-17,31.23,31.23,31.23,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2017-09-24,31.26,31.26,31.26,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2017-10-01,31.22,31.22,31.22,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2017-10-08,31.95,31.95,31.95,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2017-10-15,31.66,31.66,31.66,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2017-10-22,31.41,31.41,31.41,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2017-10-29,31.71,31.71,31.71,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2017-11-05,31.24,31.24,31.24,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2017-11-12,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2017-11-19,31.74,31.74,31.74,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2017-11-26,31.41,31.41,31.41,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2017-12-03,31.57,31.57,31.57,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2017-12-10,31.55,31.55,31.55,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2017-12-17,31.55,31.55,31.55,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2017-12-24,31.77,31.77,31.77,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2017-12-31,32.38,32.38,32.38,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.51,32.51,32.51,0.0,0.0
